#
#                  +-----------------------------------+
#                  |         FIR Response              |
#                  |        II  PFO    00  LHE         |
#                  |     Anti-aliasing FIR div4        |
#                  +-----------------------------------+
#
B061F03     Stage sequence number:                 3
B061F04     Response Name:                         FIR_div4_PFO_LHE_________
B061F05     Symmetry Code:                         A
B061F06     Response in units lookup:              COUNTS - Digital Counts
B061F07     Response out units lookup:             COUNTS - Digital Counts
B061F08     Number of Coefficients:                221
#              i   FIR Coefficient
B061F09        0   -2.62103E-08
B061F09        1   -1.16007E-07
B061F09        2   -3.13840E-07
B061F09        3   -6.33959E-07
B061F09        4   -1.01372E-06
B061F09        5   -1.28066E-06
B061F09        6   -1.17060E-06
B061F09        7   -4.24594E-07
B061F09        8   +1.04357E-06
B061F09        9   +2.97052E-06
B061F09       10   +4.66393E-06
B061F09       11   +5.12984E-06
B061F09       12   +3.45085E-06
B061F09       13   -6.68374E-07
B061F09       14   -6.41479E-06
B061F09       15   -1.17454E-05
B061F09       16   -1.38743E-05
B061F09       17   -1.03822E-05
B061F09       18   -6.21545E-07
B061F09       19   +1.32094E-05
B061F09       20   +2.60325E-05
B061F09       21   +3.13244E-05
B061F09       22   +2.38375E-05
B061F09       23   +2.67389E-06
B061F09       24   -2.67384E-05
B061F09       25   -5.31602E-05
B061F09       26   -6.31275E-05
B061F09       27   -4.68117E-05
B061F09       28   -3.93904E-06
B061F09       29   +5.31650E-05
B061F09       30   +1.01792E-04
B061F09       31   +1.16780E-04
B061F09       32   +8.19053E-05
B061F09       33   +1.02459E-07
B061F09       34   -1.02782E-04
B061F09       35   -1.84277E-04
B061F09       36   -2.01188E-04
B061F09       37   -1.29873E-04
B061F09       38   +1.77821E-05
B061F09       39   +1.91426E-04
B061F09       40   +3.16877E-04
B061F09       41   +3.25458E-04
B061F09       42   +1.87417E-04
B061F09       43   -6.55354E-05
B061F09       44   -3.41682E-04
B061F09       45   -5.19245E-04
B061F09       46   -4.96741E-04
B061F09       47   -2.44267E-04
B061F09       48   +1.68223E-04
B061F09       49   +5.83533E-04
B061F09       50   +8.12905E-04
B061F09       51   +7.17074E-04
B061F09       52   +2.79720E-04
B061F09       53   -3.62334E-04
B061F09       54   -9.54170E-04
B061F09       55   -1.21862E-03
B061F09       56   -9.79341E-04
B061F09       57   -2.58930E-04
B061F09       58   +6.97502E-04
B061F09       59   +1.49686E-03
B061F09       60   +1.75277E-03
B061F09       61   +1.26261E-03
B061F09       62   +1.29137E-04
B061F09       63   -1.23778E-03
B061F09       64   -2.25915E-03
B061F09       65   -2.42315E-03
B061F09       66   -1.52712E-03
B061F09       67   +1.84298E-04
B061F09       68   +2.06315E-03
B061F09       69   +3.29138E-03
B061F09       70   +3.22490E-03
B061F09       71   +1.70881E-03
B061F09       72   -7.83227E-04
B061F09       73   -3.27318E-03
B061F09       74   -4.64737E-03
B061F09       75   -4.13740E-03
B061F09       76   -1.71226E-03
B061F09       77   +1.80676E-03
B061F09       78   +4.99750E-03
B061F09       79   +6.39135E-03
B061F09       80   +5.12302E-03
B061F09       81   +1.39803E-03
